timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1535216400,Aug 25 2018 - 5:00pm,complete,N/A,RSB Berkane,Mouloudia Oujda,N/A,0.00,0.00,1.87,0.73,1,1,2,0,0,0,"","",5,6,0,0,1,0,0,0,0,1,13,12,6,4,7,8,-1,-1,52,48,1.93,1.40,0.00,0,0,0,0,0,0,0,0.00,0.00,1.77,3.20,4.55,1.61,2.90,5.80,0.00,2.75,1.42,Stade Municipal de Berkane
1535225400,Aug 25 2018 - 7:30pm,complete,N/A,Raja Casablanca,Chabab Rif Hoceima,N/A,0.00,0.00,2.07,0.47,6,0,6,0,0,0,"","",6,3,2,0,2,1,2,0,2,1,16,4,9,2,7,2,-1,-1,55,45,2.16,0.66,0.00,0,0,0,0,0,0,0,0.00,0.00,1.38,4.05,7.25,1.32,2.00,3.60,0.00,2.30,1.59,Stade Mohamed V
1535299200,Aug 26 2018 - 4:00pm,complete,N/A,Youssoufia Berrechid,Hassania Agadir,N/A,0.00,0.00,1.53,1.07,1,0,1,0,0,0,"","",2,5,1,0,2,0,1,0,1,1,9,8,3,3,6,5,-1,-1,39,61,1.13,1.34,0.00,0,0,0,0,0,0,0,0.00,0.00,3.80,2.85,2.05,1.45,2.40,4.65,0.00,2.20,1.62,Stade Municipal de Berrechid
1535308200,Aug 26 2018 - 6:30pm,complete,N/A,Khouribga,Moghreb Tétouan,N/A,0.00,0.00,1.60,0.80,2,1,3,0,0,0,"","",4,3,4,0,2,0,2,2,1,1,7,11,6,5,1,6,-1,-1,50,50,1.37,1.56,0.00,0,0,0,0,0,0,0,0.00,0.00,2.00,3.10,3.70,1.42,2.30,4.30,0.00,2.15,1.67,Stade du Phosphate
1535389200,Aug 27 2018 - 5:00pm,complete,N/A,Ittihad Tanger,Rapide Oued Zem,N/A,0.00,0.00,1.33,0.67,1,1,2,0,0,0,"","",7,0,2,0,3,0,1,1,0,3,9,8,3,4,6,4,-1,-1,64,36,1.37,1.10,0.00,0,0,0,0,0,0,0,0.00,0.00,1.95,3.00,4.05,1.53,2.65,5.20,0.00,2.40,1.56,Grand Stade de Tanger
1535398200,Aug 27 2018 - 7:30pm,complete,N/A,Kawkab Marrakech,FUS Rabat,N/A,0.00,0.00,1.40,1.00,1,1,2,0,0,0,"","",4,3,2,0,2,0,0,2,0,2,9,10,3,4,6,6,-1,-1,58,42,1.32,1.23,0.00,0,0,0,0,0,0,0,0.00,0.00,3.50,2.85,2.20,1.47,2.45,4.75,0.00,2.20,1.65,Stade de Marrakech
1536343200,Sep 7 2018 - 6:00pm,complete,N/A,Olympic Safi,Wydad Casablanca,N/A,0.00,0.00,2.00,1.33,2,1,3,0,0,0,"","",3,6,1,0,4,0,0,1,1,3,7,18,3,7,4,11,-1,-1,29,71,1.00,2.53,0.00,0,0,0,0,0,0,0,0.00,0.00,3.15,2.60,2.50,1.54,2.65,5.25,0.00,2.30,1.59,Stade El Massira
1536516000,Sep 9 2018 - 6:00pm,complete,N/A,FAR Rabat,Difaâ El Jadida,N/A,0.00,0.00,1.13,1.07,0,1,1,0,0,0,"","",4,3,2,1,2,0,0,3,2,0,7,20,0,4,7,16,-1,-1,55,45,0.96,2.05,0.00,0,0,0,0,0,0,0,0.00,0.00,2.35,2.90,3.00,1.42,2.30,4.30,0.00,2.05,1.71,Stade Prince Moulay Abdallah
1537023600,Sep 15 2018 - 3:00pm,complete,N/A,Chabab Rif Hoceima,FAR Rabat,N/A,0.00,0.00,1.33,1.07,1,4,5,0,0,0,"","",4,5,0,0,0,0,0,0,0,0,5,10,3,9,2,1,-1,-1,53,47,0.86,1.72,0.00,0,0,0,0,0,0,0,0.00,0.00,3.20,2.85,2.30,1.54,2.70,5.30,0.00,2.35,1.57,Stade de football d'Imzouren (Imzouren)
1537110000,Sep 16 2018 - 3:00pm,complete,N/A,Mouloudia Oujda,Ittihad Tanger,N/A,0.00,0.00,1.60,1.33,1,1,2,0,0,0,"","",2,4,1,0,1,0,1,0,0,1,2,3,2,2,0,1,-1,-1,36,64,0.64,0.91,0.00,0,0,0,0,0,0,0,0.00,0.00,2.55,2.85,2.80,1.45,2.40,4.65,0.00,2.15,1.67,Stade Prince Moulay Abdallah
